taylor2                   Session
Mon Jul 08 12:14:16 2013  Created
11 11 1 4                 Nr, Ns, Nz, Elements
20                        Step
0.4                       Time
0.02                      Time step
0.01                      Kinvis
1                         Beta
uvp                       Fields written
ASCII                     Format
-3.198274673e-16  2.085557464e-15  -0.004570994584 
-1.028018807e-06    0.09562927785 -4.770937384e-15 
-3.557108184e-07     0.3068936324    0.04251842025 
-2.455569984e-06     0.5831609120     0.1654553021 
-1.993277248e-06     0.8261484489     0.3366687536 
-1.619303557e-15     0.9240894345     0.4223724184 
 1.993277247e-06     0.8261484489     0.3366687536 
 2.455569983e-06     0.5831609120     0.1654553021 
 3.557108222e-07     0.3068936324    0.04251842025 
 1.028018815e-06    0.09562927785 -8.582497104e-16 
 4.814311272e-15  4.475763783e-15  -0.004570994584 
  -0.09562927785 -1.028018799e-06 -1.097436674e-15 
  -0.09511630197    0.09511540320   0.004571038422 
  -0.09019926814     0.3052452893    0.04708998454 
  -0.07418024516     0.5800307246     0.1700265666 
  -0.04284376335     0.8217129473     0.3412398011 
-1.353047361e-15     0.9191288620     0.4269422868 
   0.04284376335     0.8217129473     0.3412398011 
   0.07418024516     0.5800307246     0.1700265666 
   0.09019926814     0.3052452893    0.04708998454 
   0.09511630197    0.09511540320   0.004571038422 
   0.09562927785 -1.028018807e-06  4.342273466e-16 
   -0.3068936324 -3.557108200e-07    0.04251842025 
   -0.3052471362    0.09020233297    0.04708918053 
   -0.2894757873     0.2894740775    0.08960726510 
   -0.2380690772     0.5500640037     0.2125435078 
   -0.1375027603     0.7792571170     0.3837569322 
-1.980993530e-15     0.8716422153     0.4694586940 
    0.1375027603     0.7792571170     0.3837569322 
    0.2380690772     0.5500640037     0.2125435078 
    0.2894757873     0.2894740775    0.08960726510 
    0.3052471362    0.09020233297    0.04708918053 
    0.3068936324 -3.557108227e-07    0.04251842025 
   -0.5831609120 -2.455569984e-06     0.1654553021 
   -0.5800301424    0.07418292594     0.1700269002 
   -0.5500621470     0.2380655649     0.2125449414 
   -0.4523752563     0.4523772835     0.3354843281 
   -0.2612797488     0.6408641677     0.5066962230 
-2.369350429e-15     0.7168468439     0.5924003550 
    0.2612797488     0.6408641677     0.5066962230 
    0.4523752563     0.4523772835     0.3354843281 
    0.5500621470     0.2380655649     0.2125449414 
    0.5800301424    0.07418292594     0.1700269002 
    0.5831609120 -2.455569987e-06     0.1654553021 
   -0.8261484489 -1.993277245e-06     0.3366687536 
   -0.8217128895    0.04284729271     0.3412402132 
   -0.7792598396     0.1375016312     0.3837546483 
   -0.6408673762     0.2612819937     0.5066965354 
   -0.3701508292     0.3701469900     0.6779013874 
-2.374340022e-15     0.4140376536     0.7636118273 
    0.3701508292     0.3701469900     0.6779013874 
    0.6408673762     0.2612819937     0.5066965354 
    0.7792598396     0.1375016312     0.3837546483 
    0.8217128895    0.04284729271     0.3412402132 
    0.8261484489 -1.993277247e-06     0.3366687536 
   -0.9240894345  3.416311417e-15     0.4223724184 
   -0.9191267263  3.258805931e-15     0.4269446290 
   -0.8716401003  2.464048327e-15     0.4694586267 
   -0.7168410449  2.594822371e-15     0.5924038066 
   -0.4140347126  3.232655188e-15     0.7636073015 
-1.449872441e-15 -1.620604636e-15     0.8493246586 
    0.4140347126 -3.884175296e-15     0.7636073015 
    0.7168410449 -8.728684015e-17     0.5924038066 
    0.8716401003  6.469614643e-16     0.4694586267 
    0.9191267263  1.129902207e-16     0.4269446290 
    0.9240894345 -3.820254442e-16     0.4223724184 
   -0.8261484489  1.993277245e-06     0.3366687536 
   -0.8217128895   -0.04284729271     0.3412402132 
   -0.7792598396    -0.1375016312     0.3837546483 
   -0.6408673762    -0.2612819937     0.5066965354 
   -0.3701508292    -0.3701469900     0.6779013874 
 1.942807939e-15    -0.4140376536     0.7636118273 
    0.3701508292    -0.3701469900     0.6779013874 
    0.6408673762    -0.2612819937     0.5066965354 
    0.7792598396    -0.1375016312     0.3837546483 
    0.8217128895   -0.04284729271     0.3412402132 
    0.8261484489  1.993277246e-06     0.3366687536 
   -0.5831609120  2.455569985e-06     0.1654553021 
   -0.5800301424   -0.07418292594     0.1700269002 
   -0.5500621470    -0.2380655649     0.2125449414 
   -0.4523752563    -0.4523772835     0.3354843281 
   -0.2612797488    -0.6408641677     0.5066962230 
 3.403655027e-15    -0.7168468439     0.5924003550 
    0.2612797488    -0.6408641677     0.5066962230 
    0.4523752563    -0.4523772835     0.3354843281 
    0.5500621470    -0.2380655649     0.2125449414 
    0.5800301424   -0.07418292594     0.1700269002 
    0.5831609120  2.455569984e-06     0.1654553021 
   -0.3068936324  3.557108203e-07    0.04251842025 
   -0.3052471362   -0.09020233297    0.04708918053 
   -0.2894757873    -0.2894740775    0.08960726510 
   -0.2380690772    -0.5500640037     0.2125435078 
   -0.1375027603    -0.7792571170     0.3837569322 
 2.606921011e-15    -0.8716422153     0.4694586940 
    0.1375027603    -0.7792571170     0.3837569322 
    0.2380690772    -0.5500640037     0.2125435078 
    0.2894757873    -0.2894740775    0.08960726510 
    0.3052471362   -0.09020233297    0.04708918053 
    0.3068936324  3.557108263e-07    0.04251842025 
  -0.09562927785  1.028018804e-06 -1.063245042e-15 
  -0.09511630197   -0.09511540320   0.004571038422 
  -0.09019926814    -0.3052452893    0.04708998454 
  -0.07418024516    -0.5800307246     0.1700265666 
  -0.04284376335    -0.8217129473     0.3412398011 
 3.214265215e-15    -0.9191288620     0.4269422868 
   0.04284376335    -0.8217129473     0.3412398011 
   0.07418024516    -0.5800307246     0.1700265666 
   0.09019926814    -0.3052452893    0.04708998454 
   0.09511630197   -0.09511540320   0.004571038422 
   0.09562927785  1.028018814e-06 -1.390335206e-15 
 1.989064922e-15  3.596262575e-15  -0.004570994584 
-1.028018798e-06   -0.09562927785 -1.642608297e-15 
-3.557108206e-07    -0.3068936324    0.04251842025 
-2.455569987e-06    -0.5831609120     0.1654553021 
-1.993277246e-06    -0.8261484489     0.3366687536 
